,index,value
0,Annualised return,-0.041501157137537194
1,Annualised volatility,0.3876096698679994
2,Sharpe ratio,-0.10681121886981204
3,Sortino ratio,-0.15192166015773073
4,Adjusted sortino,-0.10742483610664953
5,Skew,-0.008978916735254491
6,Kurtosis,5.394684556007619
7,Max drawdown,-0.3236027970042258
8,GPR,-0.01956679701649136
9,Calmar ratio,-0.34109269241953916
10,Pay-off ratio,1.0551328755917757
